RestaurantID,Cuisine,Rating,NumberOfReview
"VKVKKCxE9aU6rgfGEkD0_A","Chinese",4,9
"UiBQ8Uyu4wfOtEM1Rr8ycA","Shanghainese",4,403
"w0pDi_iMZd5MqYQ7t5q1dQ","Chinese",3.5,43
"4PG9npz7q_LP2H5LfDjWig","Chinese",3.5,51
"qbLLdO0VEAWXGnygtQfoDQ","Taiwanese",4,41
"LpfsAZ7mBmK1om17S477zA","Chinese",4,22
"b2d8CP6sKQotFjzZX0Thtw","Chinese",4,14
"FMDglMusiejQeRC08mWljQ","Chinese",3.5,13
"Myp2rEB3yEcdaZIRe0S3Ww","Noodles",3.5,119
"TjB0wn5MyHM5rDMBCSCnfw","Chinese",4,32
"_dPvXYXLYa__zQapdOaQFw","Chinese",4,23
"d_TC6Om2EBTzHVm_lCgNtg","Cantonese",3.5,1091
"vWEdeCMkv93KzVzjKqdvBw","Chinese",4,14
"QlVBFWxQ_HY_O2AmqHiJxA","Chinese",4,8
"PwIMIWCzL7tlOVb_v0_RKw","Chinese",4,16
"i4cyV13lYIS4mcJKZW75cA","Cantonese",3,38
"XjPfgkSP_RDEkq_ox8fE3A","Chinese",4,32
"E_V_pCjtbvdniE8ECOMg3Q","Chinese",4,15
"ItZ8CzZAGXGjB8_9HxDIXg","Chinese",3,88
"ybQV8joopvU1_gG2RwLRog","Chinese",3,72
"1GNH6ZldleY8rKtWNZX_yg","Chinese",4,33
"dTZ_q8CwEDo9iVKM0tydnQ","Szechuan",3,175
"MBU4VGyaPKZKhe5x7UMQpA","Chinese",4,9
"XmycF9_fpEPlgMe8_qgJrQ","Cantonese",3.5,183
"m2_ZNFos5ugAwe8ft8eaEw","Thai",4.5,290
"3uXPkkEZbUrbk3e04aBZmQ","Dim Sum",3.5,263
"rN347NNwQ0hDSlbedzI9BQ","Asian Fusion",4,183
"M2sBQQLHV7oFhyif0un7DA","Chinese",4.5,11
"czQm6Ull9V6b_64amhUMyA","Chinese",4,41
"yVDNPV0Yf3vQAsXTJett1g","Chinese",3,36
"jVuj54_J9z0w9DjKPoUK2g","Chinese",4,31
"unz_YBwCWg_O5id5rxSyDA","Szechuan",3.5,146
"FEPObR6IYWOFapJDwFhGTA","Chinese",4,8
"A_e9adJ7v_U7trur2JMrgA","Kosher",4.5,11
"omOPvWNdukvWOC0peXPyng","Chinese",4,146
"mOP2_wjgUMqELKDL1Y_U_A","Chinese",3.5,402
"0Jr8GVdojmGLif1BVN35QQ","Noodles",4,190
"Jy7htqnnxlKB2vZO42__aw","Hot Pot",3.5,140
"1MqGlFP3b7H77fzUkJMKgw","Vietnamese",4,481
"ZYWwYSXWyDlVYIjPgXmIQA","Chinese",3.5,36
"FnWeS2HRGvDimOHMHRHOsw","Chinese",4,22
"PGBHteqfNcTqesQFKqqdsg","Chinese",3.5,89
"B3paSyv3eUeuJ6xPiM19jA","Chinese",4,3
"OfVP8lDL1Juk8b8Hlx7fQg","Chinese",3.5,38
"lmiwPS9tl3cyMDGDeVstqQ","Chinese",3.5,108
"bT4CDzyhV_frXV6ijvXnvw","Chinese",4,456
"Cj1RTtW3zZF_eDqYRZBMYQ","Chinese",3.5,17
"PGeL1b4xNJggpZsHEGoxjg","Chinese",3,324
"U9bU_xY11bu88lYZwnMVfQ","Chinese",3.5,33
"hNLfVfnhexy7qegeYY6tkQ","Chinese",3.5,40
"hBbAmEYXM4L03AU9Vt_p9g","Dim Sum",3.5,21
"jkd9CqvEuIJ_GM0i_lThKw","Chinese",4.5,9
"uamIIAKNHqBCR50IpEi_TQ","Chinese",5,3
"lpLd3AFaMOV7LfPtvUiq8A","Chinese",3,624
"Z263fPuSX3B3xNE7izgirw","Chinese",4.5,6
"Jr8S_deYDqbDoo_eJI7nyg","Chinese",3.5,26
"_fZQDgmasvWBtCTj9583lg","Chinese",4,10
"Cyv_tW4BljwWnP16HI_zAg","Chinese",3.5,23
"SNDUD4LFjVHWwrdAkokxRg","Chinese",4,57
"PQ2ZlhuTlJpvMUgvsAwtmQ","Chinese",3.5,252
"MnjB_RIJG0sDTk7dGggA4w","Chinese",4,10
"QBhHq4eN7rtFzmDUciVL_Q","Chinese",3.5,114
"KavW0SjAiElP2ajaexNQDQ","Chinese",4,40
"ikVDSp8YhAYuy0Lua1hpDA","Chinese",4.5,11
"RkcQl4uEJWblWf4xX8ssqQ","Chinese",3.5,365
"iktFUkKDa7B7e10Lk80amw","Chinese",3.5,9
"_hIxEP_Wd13cjNJ1tcf6KQ","Chinese",3.5,29
"poECelUuZjcM6xSlYjqxbw","Chinese",4,34
"SprPbseDvZBcWCfh_ZZt5g","Hot Pot",4.5,5
"hWkbadE0u_Eiqg9SAm176Q","Chinese",3,44
"JNHDAZSepY_5oT1Hmpx3LQ","Chinese",4,18
"eN7MYNtDzaMzk4WptrVw3A","Chinese",4,17
"O8_3tePMQIB4Kv__JCrM9g","Szechuan",3.5,5
"p2g2v5Fo_WX9tcuCs5PjDw","Chinese",4.5,15
"iFAAI_7NoceHYVybom5SyA","Chinese",3.5,52
"DjLxykRuP8OFtGtPPZpfdQ","Latin American",4.5,55
"U74_3F7r3tMhd6dmTmDBxQ","Asian Fusion",4,656
"AgTj_2PYIKP519hexQCvCg","Chinese",3.5,283
"9v_JAffC6qw8Xp67BICByQ","Hot Pot",3.5,389
"RuOFTFVTEuYSswAlzjxvwQ","Chinese",3.5,14
"YsDS48NcoyNEnXJGUiTNaQ","Chinese",3.5,15
"uaC_4pjwtdJ_SngBsJABHw","Chinese",3.5,15
"B87c3bE_u53yNYO1cmHSIw","Chinese",4,464
"OyUqDYNctt81gsNLvfHp5A","Chinese",3.5,12
"4NCvsUR3cKLaPgIZJK622w","Chinese",4,9
"PXm4BNjTgWHYClemDAkDjw","Chinese",4.5,12
"2tR7d61tBGNlGaJRYvrN0Q","Chinese",3.5,132
"_L_ArHSBcNlG5r0djuQ9Dw","Chinese",4,8
"7T7L3GgX_rA88SlCfd0QBw","Cantonese",3.5,180
"sR_KTsDa4vafaDak9Ik2sQ","Chinese",3,151
"2KDvMziRqVxdbgMMO8QExw","Chinese",4,404
"2PY9Fty_6QRpnZGIxo34eQ","Chinese",3,27
"UrOMoB_Iz0LpPOsdW60iXg","Chinese",4.5,7
"yvdaxotCYEt9HNt7GbERJw","Chinese",3,32
"3ESDUFulPVoMJdsqPQGm0A","Chinese",3.5,73
"DKGUSLiqNchBNatKoPM9QQ","Chinese",4,91
"kH_duDMclQNDlzfd701JzA","Chinese",4.5,3
"wxUTM_FkpCvnoTGJfSXkWg","Chinese",3,29
"lKxmH_hQ6ezKbq4URKrd_Q","Chinese",4,273
"eUFzb1iKTBlc_ScxSW6NCw","Chinese",4,32
